Job Title,Company,Location,Job Type,Seniority Level,Salary Range,Skills
Installation Analysis Engineer (H/F),Aptitude Experts,"Yvelines, France",Full Time,Mid,EUR 79K - 148K *,"APIs, Matlab, Python"
"Manager, Fraud Analytics",Scotiabank,"Toronto, ON, CA, M5C2W1",Full Time,Mid,CAD 158K - 293K *,"Banking, Computer Science, CX, Data Mining, Mathematics, Python, R, +2"
Lead Data Analyst,Centene Corporation,"Remote-MO, United States",Full Time,Senior,USD 100K - 186K,"Agile, Architecture, Big Data, Computer Science, Data Mining, Data quality, Engineering, +7"
"Global Banking & Markets, Quantitative Researcher/Trader, Analyst / Associate, London",Goldman Sachs,"London, Greater London, England, …",Full Time,Entry,GBP 36K - 67K *,"Banking, Computer Science, Engineering, Finance, Git, Linux, Machine Learning, +5"
Asset & Wealth Management - AM Trading Technology - Analyst - Hyderabad,Goldman Sachs,"Hyderabad, Telangana, India",Full Time,Entry,USD 30K - 56K *,"Architecture, AWS, Azure, Banking, CI/CD, Distributed Systems, Docker, +14"
Asset & Wealth Management - AM Mosaic Technology - Analyst - Bengaluru,Goldman Sachs,"Bengaluru, Karnataka, India",Full Time,Entry,USD 30K - 56K *,"Architecture, AWS, Azure, Banking, CI/CD, Distributed Systems, Docker, +14"
Intelligent Automation Analyst,Emerson,"CHENNAI, TAMIL NADU, India",Full Time,Mid,USD 37K - 70K *,"APIs, Business Intelligence, Computer Science, Data analysis, Data Mining, Engineering, Excel, +10"
Lead Pricing & Land Analyst,Lennar,"LEN - Miami FL, …",Full Time,Senior,USD 30K+,"Computer Science, Data pipelines, Economics, Machine Learning, Mathematics, ML models, Pipelines, +3"
Analyst,Piraeus Bank,"Athens, Attica, Greece",Full Time,Entry,EUR 43K - 80K *,"Banking, Data analysis, Data quality, Economics, Engineering, Excel, Finance, +7"
"Director, Healthcare Analytics",Centene Corporation,"Remote-MO, United States",Full Time,Executive,USD 145K - 268K,"Biostatistics, Business Intelligence, Data Mining, Economics, Finance, Mathematics, Power BI, +4"
